0,1863691,0,7998333,0,8236889;0,1145805,0,7037614,0,7426942;0,05410254,0,5930108,0,6718405;0,009282415,0,4631677,0,6262831;0,0,3323864,0,6875507;0,03858777,0,2485524,0,799024;0,1132822,0,1746743,0,8985547;0,2198383,0,1083674,0,9706153;0,3519866,0,05721189,1;0,491933,0,02049988,0,9967142;0,6295493,0,0,9569013;0,7444431,0,0088883,0,8693571;0,8316059,0,02071215,0,754438;0,8784154,0,03139352,0,6179157;0,9015952,0,04383224,0,475608;0,8877739,0,06831984,0,3336472;0,7279333,0,1729037,0;0,7279333,0,1729037,0;0,7279333,0,1729037,0;0,7279333,0,1729037,0;Fire
0,1975828,0,7865729,0,8701959;0,1033634,0,7265592,0,7881935;0,03510804,0,6437858,0,7004836;0,0,5325881,0,6256117;0,01458155,0,3981217,0,5954545;0,07432945,0,2831813,0,6446711;0,1562645,0,1853122,0,6986305;0,2589241,0,1020425,0,7402289;0,3836961,0,04181233,0,7429925;0,5135713,0,004512766,0,7122602;0,6404234,0,0,656659;0,7547396,0,01941061,0,5807754;0,849849,0,06089405,0,4889241;0,917847,0,1206868,0,3840223;0,9470707,0,1902242,0,2677732;1,0,3482447,0;1,0,3482447,0;1,0,3482447,0;1,0,3482447,0;1,0,3482447,0;Fire
0,0272913,0,6222818,0,2848684;0,002666811,0,5471968,0,2029996;0,0,4536664,0,138257;0,001897274,0,3399007,0,1376158;0,01134921,0,24992,0,2066142;0,0509472,0,1770578,0,2845227;0,1142805,0,1105364,0,3516825;0,1975316,0,0584579,0,4091605;0,2976188,0,02293454,0,4499931;0,4092023,0,005174328,0,4634226;0,5225062,0,0,4543639;0,6317582,0,00712774,0,4233826;0,7295466,0,02474054,0,3679399;0,8096879,0,05038248,0,2913467;1,0,1305613,0;1,0,1305613,0;1,0,1305613,0;1,0,1305613,0;1,0,1305613,0;1,0,1305613,0;Fire
0,09560152,0,7180321,0,5549511;0,04474625,0,6138899,0,5181458;0,01415561,0,5107822,0,4614044;0,0,4105803,0,3939825;0,0178919,0,3005348,0,3454399;0,06140168,0,192256,0,3796329;0,1108769,0,1770266,0,4896638;0,1703547,0,16861,0,5953903;0,2561611,0,1413559,0,6771276;0,3606008,0,1057518,0,728228;0,476062,0,07005905,0,7416909;0,5918982,0,03919953,0,7212901;0,6978579,0,01990294,0,6648389;0,7890469,0,008393512,0,5852232;0,86263,0,001954199,0,4886282;0,9171766,0,0,3799664;1,0,008332474,0;1,0,008332474,0;1,0,008332474,0;1,0,008332474,0;Fire
0,3806931,0,7278525,1;0,2536279,0,6499991,0,9699891;0,14717,0,5556992,0,9163088;0,06752449,0,4413457,0,8555862;0,01908293,0,3190029,0,7794746;0,0,191847,0,6983912;0,01512921,0,07114613,0,6072329;0,1401513,0,04572253,0,6898794;0,2812688,0,01685525,0,738458;0,432299,0,001870287,0,7469823;0,5796439,0,0,709655;0,7051467,0,01430624,0,6250871;0,7983332,0,04232991,0,508304;0,850875,0,07797945,0,3701888;0,859965,0,1243936,0,2257227;0,8480073,0,1395948,0;0,8480073,0,1395948,0;0,8480073,0,1395948,0;0,8480073,0,1395948,0;0,8480073,0,1395948,0;Fire
0,2826864,0,7928315,0,8296193;0,1817025,0,7023302,0,8264918;0,1112165,0,5893396,0,8007454;0,05475495,0,478552,0,746558;0,01372078,0,3559498,0,7055344;0,0,2236412,0,6789989;0,082575,0,120335,0,7091191;0,1951327,0,09193761,0,7792786;0,3188791,0,06132011,0,8256187;0,4524039,0,04008562,0,836493;0,5847065,0,01198318,0,8262806;0,7067413,0,002508631,0,7678362;0,8139497,0,0,6847814;0,9020177,0,007367964,0,5818845;0,9680385,0,02157551,0,4642521;1,0,04296418,0,3341792;0,9881009,0,05366735,0,1994875;0,965638,0,06388014,0;0,965638,0,06388014,0;0,965638,0,06388014,0;Fire
0,1673609,0,6716802,0,6584561;0,09713902,0,5869284,0,5980704;0,04535823,0,4950739,0,529939;0,00661575,0,3904112,0,4724484;0,0,2726233,0,429521;0,06806338,0,2209478,0,5214853;0,1402764,0,1733614,0,6124866;0,2417365,0,1103007,0,6510823;0,3550288,0,05909983,0,6685097;0,4762158,0,02634129,0,6674996;0,597447,0,001372194,0,6465244;0,7120432,0,0,5952771;0,8142192,0,006352123,0,5226126;0,8999206,0,02237713,0,4322861;0,9535077,0,04995219,0,3221566;0,9717077,0,08190477,0,2021224;1,0,1361091,0;1,0,1361091,0;1,0,1361091,0;1,0,1361091,0;Fire
0,08885044,0,4858107,1;0,032486,0,3957467,0,963702;0,0,3002142,0,9144653;0,02627879,0,1942566,0,8882272;0,1270483,0,1808172,0,9358816;0,2325034,0,1492838,0,9580377;0,3338798,0,1026958,0,9454522;0,4316673,0,06249703,0,9076671;0,5262237,0,0245307,0,8605109;0,6052022,0,006087289,0,782869;0,6697186,0,0,6911812;0,7124356,0,00515086,0,5874762;0,7383704,0,01851882,0,479057;0,7483081,0,03811816,0,3689519;0,7388233,0,07019773,0,2617745;0,7039596,0,1083454,0,1620984;0,61243,0,1826801,0;0,61243,0,1826801,0;0,61243,0,1826801,0;0,61243,0,1826801,0;Fire
0,1060984,0,5609456,1;0,04630816,0,4799686,0,9688553;0,009088995,0,3927378,0,9229454;0,0,3011986,0,8715623;0,01903334,0,2089269,0,8243836;0,09898115,0,1410826,0,8140084;0,1966771,0,1019993,0,8195021;0,2974625,0,07169894,0,8246396;0,3993221,0,0462895,0,8156309;0,4962281,0,02585496,0,7796611;0,5843505,0,009113335,0,7243766;0,6517142,0,001811858,0,6436859;0,706187,0,0,5535105;0,7410847,0,003802021,0,4541632;0,7534465,0,01458679,0,3500811;0,7440596,0,05402588,0;0,7440596,0,05402588,0;0,7440596,0,05402588,0;0,7440596,0,05402588,0;0,7440596,0,05402588,0;Fire
0,2386778,0,6115459,1;0,1544196,0,5424109,0,9864078;0,07971104,0,4695838,0,9520745;0,02467377,0,3834757,0,9118227;0,0,2824779,0,8764044;0,02552163,0,1760503,0,8671445;0,1126089,0,1093638,0,8614401;0,2060319,0,05876419,0,8335885;0,3026709,0,02753789,0,7917588;0,395068,0,004909293,0,7368537;0,4799101,0,0,6672723;0,5570598,0,006241963,0,5893437;0,6143515,0,02533566,0,4975996;0,6443454,0,05071511,0,395032;0,6496701,0,08212776,0,2899188;0,6352018,0,1185328,0,1873068;0,6078615,0,2021358,0;0,6078615,0,2021358,0;0,6078615,0,2021358,0;0,6078615,0,2021358,0;Fire
